NAME,NICKNAME,DIVISION,GENRE,WIN,LOSSES,DRAWS,Actif,ÂGE,LA TAILLE,POIDS,DÉBUT DE L'OCTOGONE,Title_holder,PERMANENT,CLINCH,SOL,KO/TKO,DEC,SUB,sig_str_head,sig_str_body,sig_str_leg,PRÉCISION SAISISSANTE,PRÉCISION DE TAKEDOWN,SIG. STR. A ATTERRI,SIG. FRAPPES ENCAISSÉES,TAKEDOWN AVG,ENVOI AVG,SIG. STR.DÉFENSE,DÉFENSE DE DÉMOLITION,KNOCKDOWN AVG,TEMPS DE COMBAT MOYEN,img_cbt,STYLE DE COMBAT,REACH,PORTÉE DE LA JAMBE,Style de combat,DOB
JOHN ADAJAR,,Welterweight Division,Male,6.0,2.0,0.0,False,31.0,69.0,170.0,"JUN. 10, 2022",False,17.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,0.53,0.0,3.9,6.28,0.0,0.0,0.44,0.0,0.0,277.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-06/7ab235cd-13bf-4085-b532-1a8138a573ff%252FADAJAR_JOHN_L.png?itok=5jmHAzgJ,,75.0,,Orthodox,"Jun 22, 1991"
ANTHONY ADAMS,,Middleweight Division,Male,8.0,2.0,0.0,False,35.0,73.0,185.0,"DEC. 20, 2024",False,84.0,11.0,0.0,0.0,0.0,0.0,37.0,29.0,29.0,0.42,0.0,3.17,5.93,0.0,0.0,0.44,0.0,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/ed39dee9-3044-4ad1-a217-4587a85234b6%252FADAMS_ANTHONY_L_CS.png?itok=ico6zXp-,,76.5,43.0,Orthodox,"Jan 13, 1988"
SCOTT ADAMS,,Heavyweight Division,Male,8.0,1.0,0.0,False,,72.0,225.0,"MAR. 10, 2000",False,,,,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,Southpaw,
JUAN ADAMS,"""THE KRAKEN""",Heavyweight Division,Male,5.0,3.0,0.0,False,31.0,77.0,266.0,"DEC. 15, 2018",False,112.0,52.0,70.0,5.0,0.0,0.0,192.0,32.0,10.0,0.56,0.67,7.09,4.06,0.91,0.0,0.35,0.57,0.0,396.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69687/profile-galery/fullbodyleft-picture/ADAMS_JUAN_L.png?VersionId=a1XiJQRN_l1IA0G0dW5ccZhOzl6Gnxml&itok=qM-eurjs,MMA,80.0,42.5,Orthodox,"Jan 16, 1992"
ZARRUKH ADASHEV,"""THE LION""",Flyweight Division,Male,4.0,4.0,0.0,False,30.0,65.0,125.5,"JUN. 13, 2020",False,107.0,6.0,2.0,2.0,2.0,0.0,76.0,16.0,23.0,0.4,0.0,3.65,3.04,0.0,0.5,0.65,1.0,0.0,473.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71630%252Fprofile-galery%252Ffullbodyleft-picture%252FADASHEV_ZARRUKH_L_05-08.png?itok=SejxzLdh,MMA,65.0,35.0,Southpaw,"Jul 29, 1992"
ISRAEL ADESANYA,"""THE LAST STYLEBENDER""",Middleweight Division,Male,24.0,4.0,0.0,True,35.0,76.0,185.0,"FEB. 11, 2018",False,1144.0,64.0,37.0,16.0,8.0,0.0,614.0,260.0,371.0,0.48,0.13,4.0,3.21,0.05,0.14,0.56,0.76,0.63,1098.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ADESANYA_ISRAEL_L_04-08.png?itok=lRDDtxci,FREESTYLE,80.0,44.5,Switch,"Jul 22, 1989"
SAM ADKINS,,Light Heavyweight Division,Male,7.0,20.0,2.0,False,58.0,75.0,225.0,"FEB. 16, 1996",False,,,,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,Orthodox,"Apr 26, 1965"
NICK AGALLAR,,Lightweight Division,Male,24.0,6.0,0.0,False,44.0,68.0,155.0,"NOV. 21, 2003",False,,,,0.0,0.0,0.0,,,,0.11,0.0,0.69,4.56,0.0,0.0,0.42,0.0,,,NO,,,,Orthodox,"Jan 13, 1979"
MARIYA AGAPOVA,"""MONEY MASHKA""",Women's Flyweight Division,Female,10.0,5.0,0.0,False,27.0,66.0,125.0,"JUN. 13, 2020",False,163.0,38.0,40.0,3.0,2.0,5.0,153.0,67.0,21.0,0.55,0.67,4.43,3.62,0.55,0.83,0.52,0.45,0.55,467.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/8d8cdf5b-a8fc-4d06-8658-a1780c10f239%252FAGAPOVA_MARIYA_L_03-05.png?itok=xaIMovDS,KICKBOXER,68.5,38.5,Southpaw,"Apr 07, 1997"
FABIO AGU,,Middleweight Division,Male,17.0,1.0,0.0,True,35.0,72.0,185.0,"DEC. 20, 2024",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,NO,,,,,"Feb 10, 1988"
MARCELLO AGUIAR,,Welterweight Division,Male,2.0,3.0,1.0,False,,72.0,200.0,"JUN. 9, 2000",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,Orthodox,
JESUS AGUILAR,,Flyweight Division,Male,11.0,2.0,0.0,True,28.0,64.0,127.5,"FEB. 4, 2023",False,26.0,6.0,18.0,1.0,3.0,7.0,33.0,7.0,10.0,0.51,0.33,1.46,1.26,1.75,1.8,0.58,0.36,0.44,410.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/AGUILLAR_JESUS_L.png?itok=gmPNn1bZ,FREESTYLE,62.5,36.0,Orthodox,"Mar 13, 1996"
JESSICA AGUILAR,"""JAG""",Women's Strawweight Division,Female,20.0,8.0,0.0,False,41.0,64.0,125.0,"AUG. 1, 2015",False,194.0,96.0,24.0,3.0,10.0,7.0,168.0,88.0,58.0,0.51,0.33,4.93,7.19,1.75,1.8,0.58,0.5,0.0,764.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Jessica_Aguilar/AGUILAR_JESSICA_L.png?VersionId=u4Bhw7DC8WEfwM7pt2FUHKOw2N_JjbnF&itok=7N9VR2jp,,63.0,35.5,Orthodox,"Mar 13, 1996"
KEVIN AGUILAR,"""ANGEL OF DEATH""",Featherweight Division,Male,17.0,5.0,0.0,False,34.0,67.0,155.0,"NOV. 30, 2018",False,321.0,29.0,20.0,9.0,6.0,2.0,224.0,126.0,20.0,0.4,0.17,3.96,4.81,0.16,0.0,0.52,0.79,0.32,800.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71419%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILAR_KEVIN_L_05-15.png?itok=UrBDfaFz,MMA,73.0,38.0,Orthodox,"Sep 07, 1988"
CHRISTIAN AGUILERA,"""THE BEAST""",Welterweight Division,Male,14.0,8.0,0.0,False,31.0,69.0,170.5,"JUN. 13, 2020",False,27.0,0.0,0.0,11.0,4.0,0.0,16.0,3.0,8.0,0.38,0.0,2.54,4.04,0.0,0.0,0.49,0.6,0.0,213.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71629%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILERA_CHRISTIAN_L_05-08.png?itok=ABl9zQLh,BOXING,72.0,40.0,Switch,"Nov 25, 1991"
NICK AGUIRRE,"""SLICK""",Bantamweight Division,Male,7.0,2.0,0.0,True,27.0,69.0,142.0,"JAN. 14, 2023",False,18.0,1.0,0.0,3.0,0.0,4.0,18.0,1.0,0.0,0.34,0.2,0.73,2.89,1.16,0.6,0.46,0.33,0.0,779.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-01/AGUIRRE_NICK_L_01-14.png?itok=MSBmTDxW,FREESTYLE,74.0,40.0,Southpaw,"Jan 15, 1996"
ASHIEK AJIM,,Bantamweight Division,Male,6.0,2.0,0.0,False,29.0,68.0,135.5,"DEC. 20, 2024",False,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.4,0.0,5.0,11.25,0.0,0.0,0.25,0.0,0.0,48.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/AJIM_ASHIEK_L.png?itok=7tx7CeNN,,71.0,,Switch,"Jun 19, 1994"
OMARI AKHMEDOV,"""WOLVERINE""",Middleweight Division,Male,21.0,6.0,1.0,False,35.0,72.0,185.5,"NOV. 9, 2013",False,389.0,65.0,81.0,7.0,8.0,6.0,383.0,89.0,63.0,0.34,0.46,2.97,2.84,2.58,0.25,0.56,0.66,0.17,721.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/68949%252Fprofile-galery%252Ffullbodyleft-picture%252FAKHMEDOV_OMARI_L_07-10.png?itok=775XAhGx,KICKBOXER,73.0,40.5,Orthodox,"Oct 12, 1987"
YOSHIHIRO AKIYAMA,,Welterweight Division,Male,15.0,6.0,0.0,False,47.0,70.0,170.0,"JUL. 11, 2009",False,,,,5.0,2.0,7.0,,,,0.41,0.67,3.1,3.62,2.29,1.0,0.57,0.92,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69542/profile-galery/fullbodyleft-picture/Yoshihiro-Akiyama_1044_LeftFullBodyImage.png?VersionId=RUae1jr6ZXoXCdoQQf6Q611OPR_c96l0&itok=0_tzggGB,,75.0,42.0,Orthodox,"Jul 29, 1975"
ROSTEM AKMAN,,Welterweight Division,Male,6.0,2.0,0.0,False,31.0,70.0,171.0,"JUN. 1, 2019",False,42.0,12.0,0.0,5.0,0.0,1.0,38.0,12.0,4.0,0.26,0.4,1.8,3.97,1.0,0.0,0.58,0.88,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71542/profile-galery/fullbodyleft-picture/AKMAN_ROSTAM_L.png?VersionId=s0Xyj_DSjzTjrVVAvaeImvkXyz9WVs3Z&itok=sOszamHM,,72.0,38.5,Switch,"Dec 19, 1991"
MOSTAPHA AL TURK,,Heavyweight Division,Male,6.0,6.0,0.0,False,49.0,74.0,245.0,"DEC. 27, 2008",False,,,,0.0,0.0,0.0,,,,0.19,0.0,1.36,3.61,0.0,0.0,0.53,0.0,,,NO,,77.0,,Orthodox,"Jul 14, 1973"
RAZAK AL-HASSAN,"""RAZOR""",Light Heavyweight Division,Male,13.0,5.0,0.0,False,41.0,74.0,205.0,"DEC. 10, 2008",False,,,,0.0,0.0,0.0,,,,0.39,0.14,3.27,3.14,0.65,0.0,0.6,0.57,,,NO,,,,Orthodox,"May 14, 1982"
ALI AL-QAISI,"""THE ROYAL FIGHTER""",Bantamweight Division,Male,8.0,5.0,0.0,False,32.0,68.0,136.0,"AUG. 8, 2020",False,63.0,9.0,1.0,1.0,3.0,4.0,40.0,10.0,23.0,0.42,0.29,2.43,1.97,3.5,1.0,0.56,0.6,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-10/71683%252Fprofile-galery%252Ffullbodyleft-picture%252FALQAISI_ALI_L_08-08.png?itok=1gCFMhbe,,68.0,38.0,Orthodox,"Sep 23, 1990"
ABDUL-KAREEM AL-SELWADY,"""PRIDE OF PALESTINE""",Lightweight Division,Male,15.0,4.0,0.0,True,28.0,68.0,172.4,"MAR. 2, 2024",False,102.0,5.0,0.0,8.0,5.0,2.0,60.0,17.0,30.0,0.35,0.31,4.14,3.6,2.32,0.0,0.59,0.2,0.0,775.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/AL-SELWADY_ABDUL-KAREEM_L_03-02.png?itok=9DmcYnI6,MMA,69.0,39.0,Orthodox,"Apr 10, 1995"
HERDEM ALACABEK,,Light Heavyweight Division,Male,5.0,1.0,0.0,True,32.0,74.0,205.0,"DEC. 20, 2024",False,24.0,26.0,6.0,0.0,0.0,0.0,25.0,23.0,8.0,0.66,0.5,3.84,6.66,2.06,0.0,0.23,0.43,0.0,874.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/10e818b5-0ad1-400e-8f07-91c0717f7a60%252FALACABEK_HERDEM_L.png?itok=lW7YzBcv,,75.0,41.0,Orthodox,"Jun 07, 1991"
ALATENGHEILI,"""THE MONGOLIAN KNIGHT""",Bantamweight Division,Male,17.0,9.0,2.0,False,32.0,65.0,135.0,"AUG. 31, 2019",False,265.0,1.0,13.0,5.0,9.0,3.0,189.0,52.0,38.0,0.33,0.45,2.64,4.67,1.99,0.0,0.58,0.75,0.14,793.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-04/HEILI_ALATENG_L_09-18.png?itok=i99joWRE,,66.5,35.0,Orthodox,"Dec 14, 1991"
AMIR ALBAZI,"""THE PRINCE""",Flyweight Division,Male,17.0,2.0,0.0,True,31.0,65.0,125.5,"JUL. 18, 2020",False,202.0,3.0,30.0,5.0,3.0,9.0,162.0,40.0,33.0,0.35,0.32,2.72,3.71,1.39,0.52,0.62,0.5,0.35,865.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ALBAZI_AMIR_L_06-03.png?itok=M8BtK40U,JIU-JITSU,68.0,38.0,Orthodox,"Oct 27, 1993"
JOHN ALBERT,"""PRINCE""",Bantamweight Division,Male,7.0,5.0,0.0,False,36.0,68.0,137.0,"DEC. 4, 2011",False,34.0,15.0,18.0,1.0,0.0,0.0,44.0,16.0,7.0,0.5,0.0,3.05,2.82,0.0,6.14,0.35,0.5,0.68,264.0,NO,,68.0,,Orthodox,"Oct 13, 1986"
JUNIOR ALBINI,"""BABY""",Heavyweight Division,Male,14.0,6.0,0.0,False,32.0,75.0,266.0,"JUL. 22, 2017",False,90.0,22.0,4.0,6.0,2.0,6.0,70.0,27.0,19.0,0.51,0.38,3.98,6.08,1.54,0.0,0.52,1.0,0.51,350.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/junior_albini/ALBINI_JUNIOR_L.png?VersionId=_pkIrcY5IZrB.DUvzPk7J1daug2p8gSS&itok=_BJuhJ-n,,74.0,42.0,Orthodox,"Mar 15, 1991"
WES ALBRITTON,,Lightweight Division,Male,0.0,1.0,0.0,False,,70.0,188.0,"MAY. 30, 1997",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,Orthodox,
ALEXANDRA ALBU,"""STITCH""",Women's Strawweight Division,Female,7.0,2.0,0.0,False,32.0,62.0,116.0,"APR. 11, 2015",False,112.0,62.0,17.0,4.0,1.0,2.0,138.0,45.0,8.0,0.47,0.5,4.83,5.56,2.27,0.4,0.39,0.78,0.0,594.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67245/profile-galery/fullbodyleft-picture/ALBU_ALEXANDRA_L.png?itok=op0fVTsc,,63.0,36.0,Orthodox,"Jul 14, 1990"
ILDEMAR ALCANTARA,"""MARAJO""",Middleweight Division,Male,35.0,10.0,0.0,False,40.0,74.5,185.5,"JAN. 20, 2013",False,129.0,34.0,25.0,10.0,5.0,6.0,106.0,62.0,20.0,0.45,0.68,2.72,2.79,2.0,0.92,0.5,0.82,0.0,837.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/4bf9c4d8-f416-4ac2-9bff-296d52fbf663%252FIldemar-Alcantara_299105_LeftFullBodyImage.png?itok=AWIQhX01,,78.0,44.0,Southpaw,"Aug 04, 1980"
YURI ALCANTARA,"""MARAJO""",Bantamweight Division,Male,35.0,10.0,0.0,False,42.0,69.0,136.0,"AUG. 27, 2011",False,,,,4.0,5.0,2.0,,,,0.45,0.62,2.72,2.79,1.44,0.8,0.49,0.6,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68134/profile-galery/fullbodyleft-picture/Iuri-Alcantara_135403_LeftFullBodyImage.png?itok=mwz7gzx4,,71.0,40.0,Southpaw,"Aug 04, 1980"
ALFONSO ALCAREZ,,Lightweight Division,Male,1.0,3.0,1.0,False,53.0,75.0,145.0,"SEP. 24, 1999",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,,"Jun 10, 1970"
HECTOR ALDANA,"""EL CHARRO""",Welterweight Division,Male,4.0,3.0,0.0,False,34.0,71.0,170.0,"JUN. 23, 2018",False,109.0,6.0,1.0,2.0,1.0,1.0,64.0,13.0,39.0,0.38,1.0,3.59,5.08,0.93,0.0,0.6,0.0,0.0,646.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68080/profile-galery/fullbodyleft-picture/ALDANA_HECTOR_L.png?VersionId=7Y_3Ma4smBzA0_a45Vlw08GDGYXLCaOV&itok=OuUz0vqx,,72.5,40.5,Orthodox,"Aug 17, 1988"
GILBERT ALDANA,"""EL PELIGROSO""",Heavyweight Division,Male,15.0,8.0,0.0,False,45.0,74.0,251.0,"FEB. 4, 2006",False,,,,3.0,4.0,1.0,,,,0.39,0.5,5.19,6.64,0.15,0.2,0.56,0.77,,,NO,,68.0,,Orthodox,"Mar 26, 1988"
IRENE ALDANA,,Women's Bantamweight Division,Female,15.0,8.0,0.0,True,36.0,69.0,136.0,"DEC. 18, 2016",False,948.0,55.0,62.0,8.0,4.0,3.0,743.0,145.0,177.0,0.4,0.5,5.19,6.64,0.15,0.22,0.56,0.78,0.22,879.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ALDANA_IRENE_L_09-14.png?itok=Ski5zwxY,STRIKER,68.5,38.5,Orthodox,"Mar 26, 1988"
JOSE ALDAY,,Bantamweight Division,Male,14.0,6.0,1.0,True,31.0,67.0,136.0,"DEC. 20, 2024",False,44.0,3.0,0.0,0.0,0.0,0.0,21.0,19.0,7.0,0.44,0.0,3.13,3.13,0.0,0.0,0.59,0.57,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/68357%252Fprofile-galery%252Ffullbodyright-picture%252FALDAY_JOSE_R.png?itok=iZeIEVPm,,68.0,38.0,Orthodox,"Sep 14, 1991"
JOSE ALDO,"""JUNIOR""",Bantamweight Division,Male,32.0,9.0,0.0,True,38.0,67.0,136.0,"APR. 30, 2011",False,,,,11.0,11.0,0.0,,,,0.46,0.53,3.62,3.72,0.49,0.1,0.6,0.92,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/1/ALDO_JOSE_L_10-05.png?itok=Ra-GU2zW,JIU-JITSU,70.0,40.0,Orthodox,"Sep 09, 1986"
JJ ALDRICH,,Women's Flyweight Division,Female,13.0,7.0,0.0,False,31.0,65.0,133.0,"DEC. 10, 2016",False,623.0,97.0,78.0,3.0,9.0,0.0,657.0,103.0,38.0,0.47,0.24,3.88,4.38,0.66,0.0,0.61,0.67,0.0,822.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/ALDRICH_JJ_L_03-11.png?itok=SpFUyGC0,STRIKER,67.5,37.0,Southpaw,"Sep 29, 1992"
IRINA ALEKSEEVA,"""RUSSIAN RONDA""",Women's Bantamweight Division,Female,5.0,2.0,0.0,True,33.0,68.0,141.0,"APR. 29, 2023",False,61.0,3.0,2.0,1.0,2.0,2.0,30.0,9.0,27.0,0.43,0.2,3.84,3.55,0.87,0.9,0.49,1.0,0.87,516.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-10/ALEKSEEVA_IRINA_L_10-14.png?itok=PuEv3iBx,SAMBO,67.0,,Orthodox,"Jun 27, 1990"
TALITA ALENCAR,"""PROBLEM CHILD """,Women's Strawweight Division,Female,5.0,1.0,1.0,True,33.0,61.0,123.1,"DEC. 9, 2023",False,72.0,16.0,24.0,0.0,2.0,3.0,68.0,36.0,8.0,0.28,0.14,2.49,4.8,2.0,0.0,0.53,0.5,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/ALENCAR_TALITA_L_12-09.png?itok=OzLzXZI8,GRAPPLER,58.5,35.0,Orthodox,"Oct 17, 1990"
JIM ALERS,"""THE BEAST""",Featherweight Division,Male,13.0,3.0,0.0,False,36.0,69.0,145.0,"APR. 11, 2014",False,102.0,21.0,12.0,2.0,2.0,9.0,85.0,14.0,36.0,0.4,0.41,2.9,4.38,2.26,0.32,0.57,0.8,0.32,698.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/edc96865-801b-4923-9ff3-b60d558a4ff9%252FJim-Alers_474973_LeftFullBodyImage.png?itok=dQRE9zyg,,71.0,40.0,Orthodox,"Oct 14, 1986"
JOHN ALESSIO,"""THE NATURAL""",Lightweight Division,Male,35.0,17.0,0.0,False,43.0,70.0,156.0,"JUN. 9, 2000",False,135.0,60.0,78.0,0.0,2.0,3.0,197.0,29.0,47.0,0.39,0.38,2.1,2.91,1.85,1.2,0.55,0.71,0.12,599.0,NO,,72.0,,Orthodox,"Jul 05, 1979"
LUCAS ALEXANDER,"""THE LION""",Featherweight Division,Male,8.0,4.0,0.0,True,28.0,71.0,148.0,"OCT. 15, 2022",False,90.0,1.0,6.0,3.0,5.0,0.0,49.0,22.0,26.0,0.55,0.0,5.23,1.83,0.0,0.0,0.71,0.57,0.81,371.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/ALEXANDER_LUCAS_L_11-18.png?itok=Rirz4Xby,STRIKER,73.0,41.0,Orthodox,"Jul 28, 1995"
HOUSTON ALEXANDER,"""THE ASSASSIN""",Light Heavyweight Division,Male,17.0,15.0,1.0,False,51.0,72.0,208.0,"MAY. 27, 2007",False,,,,2.0,0.0,0.0,,,,0.54,0.57,3.06,3.2,1.19,0.0,0.52,0.33,,,NO,,72.0,,Orthodox,"Mar 22, 1972"
MARCIO ALEXANDRE,"""LYOTO""",Middleweight Division,Male,13.0,3.0,0.0,True,34.0,74.0,238.0,"MAY. 31, 2014",False,51.0,9.0,8.0,10.0,1.0,2.0,36.0,26.0,6.0,0.45,0.2,1.61,2.89,0.35,3.1,0.6,0.67,0.0,634.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/6cb91184-7b7e-493e-b40b-d2fd00202e6d%252Fmarcio-alexandre_477645_LeftFullBodyImage.png?itok=_TGvZ8mO,,75.0,,Orthodox,"Mar 01, 1979"
