combattant_1,combattant_2,resultat,methode
Luis Pajuelo,Fernando Padilla,1,SUB
Trey Ogden,Kurt Holobaugh,0,DEC
Ricardo Ramos,Julian Erosa,1,SUB
Miles Johns,Cody Gibson,0,DEC
Steven Nguyen,Jarno Errens,1,DEC
Daria Zhelezniakova,Montserrat Rendon,0,DEC
Igor Severino,Andre Lima,1,DQ
Mick Parkin,Mohammed Usman,0,DEC
Marcin Tybura,Tai Tuivasa,0,SUB
Ange Loosa,Bryan Battle,1,CNC
Ovince Saint Preux,Kennedy Nzechukwu,0,DEC
Isaac Dulgarian,Christian Rodriguez,1,DEC
Macy Chiasson,Pannie Kianzad,0,SUB
Bryan Barberena,Gerald Meerschaert,1,SUB
Mike Davis,Natan Levy,0,SUB
Josiane Nunes,Chelsea Chandler,1,DEC
Jafel Filho,Ode Osbourne,0,SUB
Josh Culibao,Danny Silva,1,DEC
Jaqueline Amorim,Cory McKenna,0,SUB
Mitch Ramirez,Thiago Moises,1,KO/TKO
Chad Anheliger,Charalampos Grigoriou,0,DEC
Sean O'Malley,Marlon Vera,0,DEC
Benoit Saint Denis,Dustin Poirier,1,KO/TKO
Michael Page,Kevin Holland,0,DEC
Gilbert Burns,Jack Della Maddalena,1,KO/TKO
Petr Yan,Song Yadong,0,DEC
Jailton Almeida,Curtis Blaydes,1,KO/TKO
Maycee Barber,Katlyn Cerminara,0,DEC
Rafael Dos Anjos,Mateusz Gamrot,1,DEC
Kyler Phillips,Pedro Munhoz,0,DEC
Ion Cutelaba,Philipe Lins,1,DEC
Michel Pereira,Michal Oleksiejczuk,0,SUB
Josh Parisian,Robelis Despaigne,1,KO/TKO
Asu Almabayev,CJ Vergara,0,DEC
Maryna Moroz,Joanne Wood,1,DEC
Jairzinho Rozenstruik,Shamil Gaziev,0,KO/TKO
Tyson Pedro,Vitor Petrino,1,DEC
Muhammad Mokaev,Alex Perez,0,DEC
Bekzat Almakhan,Umar Nurmagomedov,1,DEC
Steve Erceg,Matt Schnell,0,KO/TKO
Jamie Pickett,Eryk Anders,1,DEC
Vinicius Oliveira,Benardo Sopaj,0,KO/TKO
Javid Basharat,Aiemann Zahabi,1,DEC
Christian Leroy Duncan,Claudio Ribeiro,0,KO/TKO
AJ Cunningham,Ludovit Klein,1,KO/TKO
Loik Radzhabov,Abdul-Kareem Al-Selwady,0,KO/TKO
Brandon Royval,Brandon Moreno,0,DEC
Yair Rodriguez,Brian Ortega,1,SUB
Daniel Zellhuber,Francisco Prado,0,DEC
Sam Hughes,Yazmin Jauregui,1,DEC
Manuel Torres,Chris Duncan,0,SUB
Cristian Quinonez,Raoni Barcelos,1,SUB
Jesus Aguilar,Mateus Mendonca,0,DEC
Daniel Lacerda,Edgar Chairez,1,SUB
Fares Ziam,Claudio Puelles,0,DEC
Denys Bondar,Ronaldo Rodriguez,1,SUB
Felipe dos Santos,Victor Altamirano,0,DEC
Erik Silva,Muhammad Naimov,1,KO/TKO
Ilia Topuria,Alexander Volkanovski,0,KO/TKO
Paulo Costa,Robert Whittaker,1,DEC
Ian Machado Garry,Geoff Neal,0,DEC
Henry Cejudo,Merab Dvalishvili,1,DEC
Anthony Hernandez,Roman Kopylov,0,SUB
Mackenzie Dern,Amanda Lemos,1,DEC
Marcos Rogerio de Lima,Junior Tafa,0,KO/TKO
Carlos Vera,Rinya Nakamura,1,DEC
Zhang Mingyang,Brendson Ribeiro,0,KO/TKO
Josh Quinlan,Danny Barlow,1,KO/TKO
Oban Elliott,Val Woodburn,0,DEC
Andrea Lee,Miranda Maverick,1,DEC
Jack Hermansson,Joe Pyfer,0,DEC
Andre Fili,Dan Ige,1,KO/TKO
Ihor Potieria,Robert Bryczek,0,DEC
Brad Tavares,Gregory Rodrigues,1,KO/TKO
Michael Johnson,Darrius Flowers,0,DEC
Armen Petrosyan,Rodolfo Vieira,1,SUB
Carlos Prates,Trevin Giles,0,KO/TKO
Timmy Cuamba,Bolaji Oki,1,DEC
Loma Lookboonmee,Bruna Brasil,0,DEC
Devin Clark,Marcin Prachnio,1,DEC
Max Griffin,Jeremiah Wells,0,DEC
Zac Pauga,Bogdan Guskov,1,KO/TKO
Hyder Amil,Fernie Garcia,0,KO/TKO
Aoriqileng,Daniel Marcos,1,CNC
Nassourdine Imavov,Roman Dolidze,0,M-DEC
Drew Dober,Renato Moicano,1,DEC
Randy Brown,Muslim Salikhov,0,KO/TKO
Viviane Araujo,Natalia Silva,1,DEC
Aliaskhab Khizriev,Makhmud Muradov,0,CNC
Gilbert Urbina,Charles Radtke,1,KO/TKO
Molly McCann,Diana Belbita,0,SUB
Azat Maksum,Charles Johnson,1,DEC
Themba Gorimbo,Pete Rodriguez,0,KO/TKO
Blake Bilder,JeongYeong Lee,1,DEC
Luana Carolina,Julija Stoliarenko,0,KO/TKO
Landon Quinones,MarQuel Mederos,1,DEC
Jamal Pogues,Thomas Petersen,0,DEC
Dricus Du Plessis,Sean Strickland,0,DEC
Mayra Bueno Silva,Raquel Pennington,1,DEC
Neil Magny,Mike Malott,0,KO/TKO
Marc-Andre Barriault,Chris Curtis,1,DEC
Movsar Evloev,Arnold Allen,0,DEC
Brad Katona,Garrett Armfield,1,DEC
Sean Woodson,Charles Jourdain,0,DEC
Serhiy Sidey,Ramon Taveras,1,DEC
Gillian Robertson,Polyana Viana,0,KO/TKO
Yohan Lainesse,Sam Patterson,1,SUB
Jasmine Jasudavicius,Priscila Cachoeira,0,SUB
Malcolm Gordon,Jimmy Flick,1,SUB
Magomed Ankalaev,Johnny Walker,0,KO/TKO
Gabriel Benitez,Jim Miller,1,SUB
Mario Bautista,Ricky Simon,0,DEC
Phil Hawes,Brunno Ferreira,1,KO/TKO
Waldo Cortes-Acosta,Andrei Arlovski,0,DEC
Matthew Semelsberger,Preston Parsons,1,DEC
Marcus McGhee,Gaston Bolanos,0,KO/TKO
Taylor Lapilus,Farid Basharat,1,DEC
Jean Silva,Westin Wilson,0,KO/TKO
Tom Nolan,Nikolas Motta,1,KO/TKO
Joshua Van,Felipe Bunes,0,KO/TKO
Leon Edwards,Colby Covington,0,DEC
Brandon Royval,Alexandre Pantoja,1,DEC
Shavkat Rakhmonov,Stephen Thompson,0,SUB
Tony Ferguson,Paddy Pimblett,1,DEC
Josh Emmett,Bryce Mitchell,0,KO/TKO
Dustin Jacoby,Alonzo Menifield,1,DEC
Irene Aldana,Karol Rosa,0,DEC
Brian Kelleher,Cody Garbrandt,1,KO/TKO
Ariane da Silva,Casey O'Neill,0,SUB
Cody Durden,Tagir Ulanbekov,1,SUB
Andre Fili,Lucas Almeida,0,KO/TKO
Martin Buday,Shamil Gaziev,1,KO/TKO
Song Yadong,Chris Gutierrez,0,DEC
Anthony Smith,Khalil Rountree Jr.,1,KO/TKO
Nasrat Haqparast,Jamie Mullarkey,0,KO/TKO
Sumudaerji,Tim Elliott,1,SUB
Andre Muniz,JunYong Park,0,DEC
Song Kenan,Kevin Jousset,1,DEC
HyunSung Park,Shannon Ross,0,KO/TKO
Melquizael Costa,Steve Garcia,1,KO/TKO
Luana Santos,Stephanie Egger,0,DEC
Carlos Hernandez,Tatsuro Taira,1,KO/TKO
Talita Alencar,Rayanne dos Santos,0,DEC
Arman Tsarukyan,Beneil Dariush,0,KO/TKO
King Green,Jalin Turner,1,KO/TKO
Deiveson Figueiredo,Rob Font,0,DEC
Kelvin Gastelum,Sean Brady,1,SUB
Joaquim Silva,Clay Guida,0,DEC
Punahele Soriano,Dustin Stoltzfus,1,SUB
Miesha Tate,Julia Avila,0,SUB
Zachary Reese,Cody Brundage,1,KO/TKO
Drakkar Klose,Joe Solecki,0,KO/TKO
Ihor Potieria,Rodolfo Bellato,1,KO/TKO
Jared Gooden,Wellington Turman,0,SUB
Jamey-Lyn Horth,Veronica Hardy,1,DEC
Brendan Allen,Paul Craig,0,SUB
Jake Matthews,Michael Morales,1,DEC
Chase Hooper,Jordan Leavitt,0,SUB
Nick Aguirre,Payton Talbott,1,SUB
